"Player","Team","Number","Position","Birthdate","College","Year"
"John Kidd","Detroit Lions","--","P","1961-08-22","Northwestern","1998"
"Hollis Thomas","Philadelphia Eagles","--","DT","1974-01-10","Northern Illinois","1998"
"Moe Williams","Minnesota Vikings","--","RB","1974-07-26","Kentucky","1998"
"Henry Taylor","Detroit Lions","--","DT","1975-11-29","South Carolina","1998"
"Rick Mirer","Green Bay Packers","--","QB","1970-03-19","Notre Dame","1998"
"Glyn Milburn","Chicago Bears","--","RB","1971-02-19","Stanford","1998"
"Jahine Arnold","Pittsburgh Steelers","--","WR","1973-06-19","Fresno State","1998"
"Lorenzo Neal","Tampa Bay Buccaneers","--","RB","1970-12-27","Fresno State","1998"
"Shawn Barber","Washington Redskins","--","LB","1975-01-14","Richmond","1998"
"Junior Seau","San Diego Chargers","--","LB","1969-01-19","Southern California","1998"
"Jeff Graham","Philadelphia Eagles","--","WR","1969-02-14","Ohio State","1998"
"Danan Hughes","Kansas City Chiefs","--","WR","1970-12-11","Iowa","1998"
"Le'Shai Maston","Washington Redskins","--","RB","1970-10-07","Baylor","1998"
"Levon Kirkland","Pittsburgh Steelers","--","LB","1969-02-17","Clemson","1998"
"Mike Goff","Cincinnati Bengals","--","OG","1976-01-06","Iowa","1998"
"Eric Smedley","Buffalo Bills","--","DB","1973-07-23","Indiana","1998"
"Mikhael Ricks","San Diego Chargers","--","TE","1974-11-14","Stephen F. Austin","1998"
"Jamie Asher","Washington Redskins","--","TE","1972-10-31","Louisville","1998"
"Scott Rehberg","New England Patriots","--","OG","1973-11-17","Central Michigan","1998"
"Joe Patton","Washington Redskins","--","OG","1972-01-05","Alabama A&amp;M","1998"
"George Hegamin","Philadelphia Eagles","--","OT","1973-02-14","North Carolina State","1998"
"Rico Clark","Indianapolis Colts","--","DB","1974-06-06","Louisville","1998"
"Jeff Feagles","Seattle Seahawks","--","P","1966-03-07","Miami","1998"
"Kevin Greene","Carolina Panthers","--","LB","1962-07-31","Auburn","1998"
"Brenden Stai","Pittsburgh Steelers","--","OG","1972-03-30","Nebraska","1998"
"Chris Mohr","Buffalo Bills","--","P","1966-05-11","Alabama","1998"
"A.J. Ofodile","Baltimore Ravens","--","TE","1973-10-09","Missouri","1998"
"Jamel Williams","Washington Redskins","--","DB","1973-12-22","Nebraska","1998"
"Greg Davis","Oakland Raiders","--","K","1965-10-29","Citadel","1998"
"La'Roi Glover","New Orleans Saints","--","DT","1974-07-04","San Diego State","1998"
"Aaron Craver","New Orleans Saints","--","RB","1968-12-18","Fresno State","1998"
"Webster Slaughter","San Diego Chargers","--","WR","1964-10-19","San Diego State","1998"
"Ed McCaffrey","Denver Broncos","--","WR","1968-08-17","Stanford","1998"
"John Kasay","Carolina Panthers","--","K","1969-10-27","Georgia","1998"
"Orlando Brown","Baltimore Ravens","--","OT","1970-12-12","South Carolina State","1998"
"Damien Robinson","Tampa Bay Buccaneers","--","DB","1973-12-23","Iowa","1998"
"Gerald Dixon","San Diego Chargers","--","LB","1969-06-20","South Carolina","1998"
"Tedy Bruschi","New England Patriots","--","LB","1973-06-09","Arizona","1998"
"Erik Storz","Jacksonville Jaguars","--","LB","1975-06-24","Boston College","1998"
"Harold Green","Atlanta Falcons","--","RB","1968-01-29","South Carolina","1998"
"Anthony Clement","Arizona Cardinals","--","OT","1976-04-10","Southwestern Louisiana","1998"
"Calvin Collins","Atlanta Falcons","--","C","1974-01-05","Texas A&amp;M","1998"
"Michael Hamilton","San Diego Chargers","--","LB","1973-12-03","North Carolina A&amp;T","1998"
"Jimmy Herndon","Chicago Bears","--","OT","1973-08-30","Houston","1998"
"Raleigh Roundtree","San Diego Chargers","--","OG","1975-08-31","South Carolina State","1998"
"Terry Wooden","Oakland Raiders","--","LB","1967-01-14","Syracuse","1998"
"Mike Chalenski","Detroit Lions","--","DE","1970-01-28","UCLA","1998"
"Tebucky Jones","New England Patriots","--","DB","1974-10-06","Syracuse","1998"
"Tyoka Jackson","Tampa Bay Buccaneers","--","DE","1971-11-22","Penn State","1998"
"Pellom McDaniels","Kansas City Chiefs","--","DE","1968-02-21","Oregon State","1998"
"Kordell Stewart","Pittsburgh Steelers","--","QB","1972-10-16","Colorado","1998"
"Brock Gutierrez","Cincinnati Bengals","--","C","1973-09-25","Central Michigan","1998"
"Leon Lett","Dallas Cowboys","--","DT","1968-10-12","Emporia State","1998"
"Todd Burger","New York Jets","--","OG","1970-03-20","Penn State","1998"
"Donny Brady","Baltimore Ravens","--","DB","1973-11-26","Wisconsin","1998"
"Michael Barber","Indianapolis Colts","--","LB","1971-11-09","Clemson","1998"
"Zack Walz","Arizona Cardinals","--","LB","1976-02-13","Dartmouth","1998"
"Qadry Ismail","New Orleans Saints","--","WR","1970-11-08","Syracuse","1998"
"Twan Russell","Washington Redskins","--","LB","1974-04-25","Miami","1998"
"Matt Willig","Green Bay Packers","--","OT","1969-01-21","Southern California","1998"
"Tom Carter","Chicago Bears","--","DB","1972-09-05","Notre Dame","1998"
"George Teague","Dallas Cowboys","--","DB","1971-02-18","Alabama","1998"
"Lance Schulters","San Francisco 49ers","--","DB","1975-05-27","Hofstra","1998"
"Pete Kendall","Seattle Seahawks","--","OG","1973-07-09","Boston College","1998"
"Kerry Joseph","Seattle Seahawks","--","QB","1973-10-04","McNeese State","1998"
"Jeff Smith","Kansas City Chiefs","--","C","1973-05-25","Tennessee","1998"
"Kevin Glover","Seattle Seahawks","--","C","1963-06-17","Maryland","1998"
"Marco Coleman","San Diego Chargers","--","DE","1969-12-18","Georgia Tech","1998"
"Tom McManus","Jacksonville Jaguars","--","LB","1970-07-30","Boston College","1998"
"Bubby Brister","Denver Broncos","--","QB","1962-08-15","Northeast Louisiana","1998"
"Ronald Moore","Miami Dolphins","--","RB","1970-01-26","Pittsburg State","1998"
"Eric Zeier","Baltimore Ravens","--","QB","1972-09-06","Georgia","1998"
"Steve Tovar","San Diego Chargers","--","LB","1970-04-25","Ohio State","1998"
"James Francis","Cincinnati Bengals","--","LB","1968-08-04","Baylor","1998"
"Tom Tupa","New England Patriots","--","P","1966-02-06","Ohio State","1998"
"Chris Warren","Dallas Cowboys","--","RB","1967-01-24","Ferrum","1998"
"Bracy Walker","Kansas City Chiefs","--","DB","1970-10-28","North Carolina","1998"
"Mike Lodish","Denver Broncos","--","DT","1967-08-11","UCLA","1998"
